id,article_id,image_url,image_hash,alt_text,caption,width,height,file_type,is_header,is_downloaded,local_path,position
17,3,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj5mXPIFJWNYUpji7wMUT1z3d0gTAMU2X6jWAWNZ13tA7Pe2zGwoGWfHL6CoX3b8a4h7NpnlYngM1lT4KqU7XJqRRjmznqXllOC5Xid8B9qYYhxYDVhvon1dcBHVAKQ7DXZEQ573c0O9IoM/?imgmax=800,4892b2ce4c42f897,image,,370,216,,0,0,,4
21,4,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhQu1bNt6Ad41gsU_3WsxlzXZddvyUduHmpBIK88y2hMUvXHzTavZpdKGhK7QQrf6op1-f_193CZMw1VU8C1x00jWbnJNz7o9s6ItWB1Y8hFO4pX9unR1oBAKOmauegKfeUEVj7cFd5kA/s320/DynImage_folio1.jpg,fc309247b43a5112,,,,,jpg,0,0,,3
25,5,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjWeuDvMtSC0nEUFkxLkzyp27WwIj4QU-87x0s_YgV4G8t4n6v2tH9ba8r-FhgdIEYjioxakuBwuMAlZV7sC_0y4kav0cQZmp18m8j__MRQ6n0Q0nAXAKkU-8v7_M3T3NsWLrEhr9vytA/s400/atlas_book.jpg,804d7e427537b90a,,,,,jpg,0,0,,3
32,7,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhg5FzRtU2r_vw21CtE-P6v2p811sJOcIZhsUASZv-T0AacrjhLQqdrMzH3ptg4XibCaEIEKmvTkmE69N_R2fmlyln9k7N6Qbxw4wKl8_UMZ0nINnNOMwh5G6klaMF4drtO0hxNxhehjIc/s320/dediaalif_213.jpg,863c02ca7c047c20,,,,,jpg,0,0,,3
36,8,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiVTcfcMy49o5yhiuyhG4aVGR43tHZ5Be6H96c7WMstQmmd13QeHuxTwAbQGnDmQr_r7iYRxkoqp4uCHtjCe3GX3Sz_hizO3gCnJ2dOTg8c7eCNWTST0Lkur9TRKt7cetOdwYv7UYmgIJw/s400/RINCONES_FOLIO1_BLOG.jpg,84346044b2b9ba5c,,,,,jpg,0,0,,3
40,9,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhxnCiZPTqjegV_P8aF3y_OCkSOavqu0NVKB_PsGvcW63L_AIvaQXriwsCDnBVHfaUIMywMH_ssGgb6lwmk8Wvj956RRV_zmYl_Ek7SJtCmQb7mvSrrA3Th28VTnC98KRXplSnlgp6COw/s320/kyanal_folio.jpg,b9e7d7f373a5b878,,,,,jpg,0,0,,3
44,10,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjf1Wq40mmyEvXAp3RQY6tv3LELD0gvknXZVbrm9LUzg8wFNmRwghLO1gGpWHj6_Gty-F4mgtKXWMALGJpQFUfeFfTfvJyF5FaSErEYNB7WXk1AZqltXxVuiIGH42GJ7HehXIh_Ltw3Zg/s400/LEBAB.jpg,efd15bee8004f3ef,,,,,jpg,0,0,,3
51,12,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhxqib9_lykbIITTYSeurBiiCqj6gEI5sS7P1OXWDDG7rWR0GVsNrjzUMB59rxI3QAEdGIys03s8dnM-qlV3teVY0pft13X9uc_1-dv0ZKqh6RXpMllUKwPIoZkgrYhSVUTOqrn43kdrf4/s400/sherbet.jpg,2e65bfa7abd60716,,,,,jpg,0,0,,3
55,13,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi5Wdd77FJagBx96pl6zCEuzCx-OrzVKESg4C7SvKVyCjAu19frQuhSkWtkp2O9VNygGiGroHfhA0bXKKRYtMa3NKscrg6P1VljYaYkDt5RPJzLZEhOEf7bvvZpMqOyQJRBQYB6IlAF7Q/s320/GRAMMAR_COVER.jpg,ec203faebba2823f,,,,,jpg,0,0,,3
59,14,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjqoXoxUC61MAK4ja21HS6VGId4fX8V__H8tkFmeo-dESan0WGOhbodC5AV9yjgen2vy_Xu2vwjUMkSi9ID0q_a7g66yXEhrqpnBAbad2vz41EDxbWKYhiHDFQL2TscKTVJSMr7byBktqQ/s400/prueba_alquimia2.jpg,b448b7b65618bfb1,,,,,jpg,0,0,,3
66,16,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhIqCvcMdEhh6E2DB2yYjLjqqnLb8_3Rq6CwRNklLX8NfwkFjLxa-iDGshh18x8aMBr_8zG5kkmH8PbL61ze7yhup0_3UIlpjCPQZNoLa4SbUDYu-EyadlKmDsIHR3CBmXZyQUS-JYGAQ/s400/prueba_alquimia.jpg,359d5b5a5a777790,,,,,jpg,0,0,,3
70,17,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjI9V_iO4gSzngw0gzC2qWGq1nzA7Ozk89iErNV9pmZw83d4nW-AesL9eYeU9XBFeHqUaJVYHJshL95ymeS2H_YEBeUPUxfw1MQTMNRHIVR7M2H_PcYsKEhzNZW55gSA6iio0M9815foQ/s400/farah-kimiaqalam.jpg,94cd94f0051413e0,,,,,jpg,0,0,,3
71,17,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjdsbsBMPrrYThQkwMt4-RHuT0MVUennksIyztSCJHBVZ85y9IccoCi_buX_IxOM9Rv3UoBQ39DrIcV1e1aeH7isi_8OZFHWkuJHSR_SaxUI-88m1OdRVDJ4l5ZYjqxkJ1W23Kcqr16x-g/s400/intropic.jpg,e0cb4a6de62990b0,,,,,jpg,0,0,,4
75,18,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhDLney5M1uLFasDd87drzWgDVML65w1xDZuTXeQRLS7kJUtYcHbfEXsn3cnrPZqidPt3j-dwOcFVI2Bv4VCzGokT4uKoPESBLTdjhbn6lDZt2nCe6JijqtIrqfZDVZvvPIZEUG1trIu6w/s400/abkar1.jpg,b32e41728d398e77,,,,,jpg,0,0,,3
79,19,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgVfc7jS7bVgXWSdg49oXKR1zOHimYa-l_Ps0RGh2vSqNJwc_wyoPd4w0zpxfMbuLbhAQeV9vldsPsz_sVmyl71UxQvPo-t2tQHABijj7hAGlg8bEJ-xuQjVELT3fm81kIJKL0CgraEKJY/s400/birdf44v.jpg,cfa585c8867d03a1,,,,,jpg,0,0,,3
83,20,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhGBkrnF785Ttnym5nKGKDyTcpJieTgHw8PPQnjalED1lwifyBB0Jj_ppDG4YEYsTWuhGH27jCztFV6Nk3mb62ZYEQbIMqup3bXsIvm7RmWqjEFvbFl8UeDgqhbKz57C_bt-_Kc2rokUBA/s320/santali_cover.jpg,4aff5b3bb0dd09d1,,,,,jpg,0,0,,3
87,21,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjg8vjcWJVydzx600uyLhF5TwaKtCD_DWquT-gVWRuHB-cF7Ku_w6y7dCKY6p6T-DYglj6YVdohj2ISVLE6GOgTPkKgPVN52kdVMXFADMvkmj5oETkCaucwovk8URU5Sw5KEC-b22C7Sz4/s320/cover3.jpg,7fafa6c49b6fdc6c,,,,,jpg,0,0,,3
91,22,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjbKtR7h0jmfaICViWtth7zfqvr8aR34pH4Jmw3MshF77Q1B-QZ9mvvMPurTytHVYI2nCC7HrZT0a_0nU6f9oa94POu-o7UlM12hGyB9-5dFdJIU7K4iBTmZD3oo0BxJCAoonipbQkSPg/s400/drizza_cover.jpg,ded7d59319f5ffc5,,,,,jpg,0,0,,3
95,23,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjXRKXQjicAaZdfq_BOvMWI7nZkcnBXaHzbHHGAiNdTf6T8GjTZuRmRlli4yOrQ4TnUUB69C9YTn6KPLBcNTI3o8FxtJv7YN0s_PIWqy_Y7Qdx8yaxWD55Shy8U3egLaa8_P8Lmx1rannM/s320/practical_cover.jpg,1531ee30dffc6f49,,,,,jpg,0,0,,3
99,24,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhJuqQ0i4VRBDRTdVPrfi6SBFCtXJOEs0okUw-ZxC8xUFOCGdkc5Geyb50UKORIri_ZVLZyd1xX0tlvdJn2sqaqLj2S4WkATyfhCpBR-myOPUgTNeZh5prbb0ZGqlm1GfUNRDbWHZ7H5CI/s320/african_secrets.jpg,e23cc31802f6bede,,,,,jpg,0,0,,3
103,25,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjfQs1ZffhCyQm-ktD009X9D4O-eG46PM08_Tvh74PldLGKdTbgiAqf0rwzFzO5_Uk977rdybwHraboKvtqvoIefPGwnI98dsb2Xb9DeLze7IW8EPMzpRM1X_cF9gioPdSTerrvtmY0PQ/s320/page37_folio.jpg,ecbe8a5ddff4ff94,,,,,jpg,0,0,,3
104,25,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhGeq15llHSwh-Vtah90njcoALUYIuCB-LWOQBoV0xONYTEIy5mmykIRO4FBuWVsY3Nxt7uLl_4X_2f_wg-gbKuN8z67W_VpcMoo59fw6O9MsaHUEMiF-4PCg8uDvRPZBMHpK0aPAjOnpM/s320/page38_folio.jpg,4f100afacb9580e0,,,,,jpg,0,0,,4
108,26,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhSTPrG0ANRu0EjNJgfgbN_VqO3bmtMoi1hyphenhyphen-GwBTq-2IiXBsUZpD0AdwCkE3OE9CB94JfB3TuFwx3ywUnoiMtFv4MLPB3iHlh0pzDUwqNJYddJAXyZ1J5zA8gF4chIjsqy8CK6j7op1qs/s320/uz_alfabetizare_cover.jpg,94c3c6bcc1adba97,,,,,jpg,0,0,,3
109,26,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEium9QCX6V1DWRxg3-P_vGstEUsnXUH8gvcArWlIdDJ7lh8POkVFFkG00-U_7Rlj_Mxp2G1NXnnBLIljg8js8-_WHJa-ncxgyEkPgRZ8jdijhR8yguEAm7xzyVKa6j3RT1EgKWzbCXQwg/s320/Roma_of_World_cover.jpg,a18139bee4afc90a,,,,,jpg,0,0,,4
110,26,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhHjRWozih_CenIphTUDP-xRDSobTW2LFpt3AtND4wXTuCjh7OvFN_SpxFxgwKNDgYLEW9F8sM8FM9KgzB20cP-bL1B6RJPxEZupfhEVW1nZ9uky9l_uvYoQgRxzlOHrwl7IZPAFvYFEw/s320/gypsiesinliterature_cover.jpg,ce7f2bead39e4141,,,,,jpg,0,0,,5
111,26,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjj-0D8eGF0-8uqlaMNOQW6VZUshsIEYlLgD7jwTuNQif18WU98Jt1n33OMMOZlCDKh2J-wLgbumLo86YMmX3q7exaMdeJmaoIRDGUoXUSj_nRbQzR-jtfDuNmnjWmYnBp0DzZsoFWhVTw/s320/cuentos_cover.jpg,6f89390fd204b4ef,,,,,jpg,0,0,,6
112,26,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhzr1NE-z3f6wlruRqsf7n5fP07TOILqUiJX_A2VBhVNxKQ4v8rK_RGk7CbNqTafmx7ZRICHPuQugLeOfGlNklUL3SRHrAzYBAJVzCW8o8815LOMHPypcYVxonhrazXx2094_ojynS4hrw/s320/2698_rm_cover.jpg,6c7f590c51702ad9,,,,,jpg,0,0,,7
116,27,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhQ6Rfu6pf8z9Npnx5WSsGfYL6z1J1lfsc4TdQkJccH7x1oUZjB-Bju_rsJNqEELxU_Ug80R1DEYktOuYSgvjskEaBn4pIwtCY6s6Ys1SksfUZCNCACNPYG9WZfRsuAopMH935FY9qE98g/s320/heb1.jpg,1f7a3ac80a00c7ee,,,,,jpg,0,0,,3
117,27,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh6kQgWmYgPDi0-2RXkFKm2Y4feDGCb6bqPtsJIUt9lOSBhQFaKyuztbY7vpt6oGTaMhfJN17V_kaINla-buP1x3VLz-uk0RnHGbnAabpXFq6avdtzLubTIZxTj7Pj2RRO37lbqqBbNOQ/s320/heb2.jpg,9087e9e99c4e1019,,,,,jpg,0,0,,4
121,28,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjp0jIUMCYjvYXnte56V6wxGjeZsHrcJ4rjcW3fzYE0Fl9ntn5MOHVxLbPloIy9QN6F46UA4sMNlu1QjQqK1BwydBy_l1fPGqgVqPSejZN-aJF0Ofp_Ad_3dOMJF3QUpcnCvXgcbjRz8Rg/s320/on_dacians_cover2.jpg,aae81dd77f61bf1f,,,,,jpg,0,0,,3
122,28,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiuJzzG94FsaONGwWVu69WV2AIJoCAgVb4CINxL187dtnrFKRmc3mqdMXY08yz1RwtvFPmTwcL4qoF1spGMaAoavc86a5pW3cSuntg_3FElUPsufqZi3cyk96ukWg8GBU2Cg0R5oOeDgtY/s320/on_dacians_cover1.jpg,4d7c60f67a4a9a96,,,,,jpg,0,0,,4
129,30,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi0gKmiwGyY5t0gqekMyCSzX-WcES6t9EQdYsxlyVe-TAbWnvPOBcOVs_dVqXViE1ObfyRRxRyWYobx833x2bk6E25FPREMeJi18nifMprOQairZ9gIoo6ESuGPyur22IFrMt2NY0-pxWI/s320/dime_nilotic_cover.jpg,6a524e049866c7da,,,,,jpg,0,0,,3
133,31,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjEwQEd1bdTHypjSKiUyD3dcXyLj37O538l-zkOAaZaZuIlR1meKAQzXz1Za1uw6sEX8_wMBn54vC5TyW5xEihHsqmLJkkHWD4EB2efw3xGAgaM64_OmLqQQDkPaKA09tzT3VnbI0RUOg/s320/early_christianity.jpg,c69fa081e72f1bcb,,,,,jpg,0,0,,3
134,31,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgGcSgeMlErFJPwKcHJgfl_7tc-xkZj7znIHPKBgFA35RwAfg_T0RWtUB8CRjvS036MoRmI-oQrRLfWIKMpDEyq6BtxIU1N4hHXZtiCq_OWmZ8BGpyhe_PaGb1ixXRSEw85hSuN8kWzlng/s320/sages_cover.jpg,be122214bf9cd30f,,,,,jpg,0,0,,4
141,33,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi_9lnKjO_9yewnDcNNyW83zxAMDpSmU35ncM0sDuWS8WQjwwSSdjUcvMVrbuicrtE0XvHM2-xs5Q4CYlkmxegPj0iJpBlS09XaHFNP1vFiSwNJoUU01bTcM9GH2TCmGalG6kEQjnM5Tg/s320/gsidin_cover.jpg,7757b9babbd4fe8d,,,,,jpg,0,0,,3
145,34,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg21-WoQeMyKcCi63qStjfu3LaeaYYoTG4h63zftOPZZgEUj1AkBM9t-7doBsYhF1rmdZb8-8UrBbQcmarvGwf2NhaZjVOditaIC8s6zuBjoW0lh72vIWT41qMUeZaQWZa3WmnqiroPOQ/s320/veleia1_cover.jpg,3c710453f7c98d9f,,,,,jpg,0,0,,3
149,35,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjOWWuRrQnuYWsv5_fxWiBoOQkB5mkx8EACHhtXEetWnx8_KPjx-ai2YNvkSJqELvUBpBs5WZJ_ScmRHyzwIcnsawKWkoiKXloQGvCPdxgD8ftw8sxvCQyiXwk8A_R7Mh06ZLsSZgH4vg/s320/judeo-fragnol_cover.jpg,c493aa03d41dd7ba,,,,,jpg,0,0,,3
153,36,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjjUZwfDlN3l3SDoTcu1zVdWan9VXJ-p8M055_Si3_tAc6Q0xlb2FDgUsBlDhyr9_gh38J-b852JGhLJ4TUoBzigTmLj4HbAvMJ5ouUqd6Z-ujLIMlfi_4P3DBt_a_8bmSdiNpGOKGH2w/s400/oldchurchslavonic_cover.jpg,5db1f9f283759fc1,,,,,jpg,0,0,,3
157,37,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjcVU0ytnnf6e4Ks2_mbkTZyuAMbieAZBlhFQm3X3duNGLxi7aK7Qd-6vQg8HztQN7eFYbvfHJp8wxmUSozuu3sxptSmsubKLlJh-0YUKdTn7vHhpNXVqm6fgoP0CJb30cXHJsi59eQjA/s320/lemnoski_jezik.jpg,e1f3fa7c8649300c,,,,,jpg,0,0,,3
161,38,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi10-yQn1gK_L201yRltGIRN6oCony6OgYgs8ccUGkc15cRAWExgJbxQrVoqgC5TXHB0kwxNMwV4-GfmHYkQV8kZ2Aw6tsrKXJvrsrfXtDsJWebcfU7ZLAwoWvkFXJZ86F4yySV5aIDKWU/s320/pictland_cover.jpg,22490d4f9dcff66b,,,,,jpg,0,0,,3
165,39,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjoBg7RcKXoh1Q6nmo4NOnigaPsw5xHhdRnyEgJjnhZxnhgLT3vO3f2eQUjLb1b1_zKPGNjAIHsCf9bHDIlGAIQSNJQbQrAlG-q2jOvcMqy3DnU_D9bb_8OobTd-PLzhn_0NYSiw8QCCWg/s320/lingua_ignota_cover1.jpg,b2cdeb13e746aac5,,,,,jpg,0,0,,3
169,40,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgtWZMbxykpGpOHb5xf37U7-7RxKYEJ9KehmiyzlqZZNJQK7koDaRUIgjVxbOdfUDWppETLkYTjpMiJ_PY74Bq9CvYjoWSVNkbTvVxBliHR_qSWMo-m3No6yOpq30QbVIj391DKBOSz9bE/s320/celtiberos_cover.jpg,c82b0d5bae714a27,,,,,jpg,0,0,,3
173,41,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg3Wfd-pJcV0rgspCVtr_khumNO96ZPGHqRr-VzbZtM0zZbcG87JJYwy5s_06tTnEFcjGK_csmtWMdsFtr4KuPnfTB4Ja1jyhcsFVbsf7U4vtBZVBIgllePPS27QOMLYANouGulxPKEItI/s320/onbulgariandialects_cover.jpg,c65dad036642cbfc,,,,,jpg,0,0,,3
177,42,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEha0NiVnOdJC0Ed8Rn0iZbv5S1iiI6Dd1N47-txPyiky_XpuaMj7b6VODHdizSXxVEMxwyqUz8MbeVqXLdAUZYHLiDnA9E12RLzTkS7rxetjYjkFslSRVKIbs__L2v2c4YiH96-cdaRchs/s320/oscan_cover.jpg,8c6409739cced5ae,,,,,jpg,0,0,,3
181,43,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgxXo2K0EBhFqhxeJmZC6UMAdMb_SJzPqEnQMjPyy6YqKe0vTHfRrXD4rd7BoKyhkdKoxJ8IumV3KOjzTEherMmRWfS0nWRHOddSC2A7aijiZ28rnuTbxGQ7sx1JcOpz5ipOFAgryUtdw/s320/probabilistics_cover1.jpg,3404350cd6f1e2e8,,,,,jpg,0,0,,3
182,43,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjsAJPD0BvsrppD2Jycmvg2WFibtWsZB5ljaaTV_7aNPBIP-OY2H8ZZHSlKM5Ca8jjYvw3cuSm_rSSkMDGzgeISr_wEySN1VrvPC6SjhFyJ2Z7MmznEB6Pzo2vIC_U35XLkr257QfFxcPo/s320/probabilistics_cover2.jpg,4aab06ebe6dcefc1,,,,,jpg,0,0,,4
189,45,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj72KgnzJgJbw0Og7J-vdCopUqyyLrwipJKhKMSdxxFfcuSewOr-n0GPoqJqlichKa0SU9CthtvRIFUtr-Adys18kXsuWhlBQGhPFe2T48uiAniBzKeQCvdunvD0sUyn0Spd6TUOEdH0g/s320/the+teacher_cover.jpg,d6cead4a43d9c104,,,,,jpg,0,0,,3
193,46,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjsCpzNxU4sDO1n9IwQzjOGnrxHRpdtuiwizRY8Ex9SD-R6WY5YdzOkMberh892xE48j-D3CK4HUzZEQqTqHt1Eg_38014UrGGLqnH6SKbgQfNJckCSQ4zdBygWex5jSgi7LWZ8uLvcbQ/s320/Gwara_cover.jpg,95d341eebdf5ceda,,,,,jpg,0,0,,3
197,47,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEih3dU_LeN_O6vb-csRppExXOZPcNjvXZk5suqDlLnJrbUI18mxCnqUclmL_z1V1bn-ruXMcTw0n-mxhAZCarR9wOI60qwP7Pq0box-u0f6A483pOlxPPA7VGIICrpzyMcHLPhi-7C7Nw/s320/art_of_language_cover.jpg,2bb9987f17d03b67,,,,,jpg,0,0,,3
201,48,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhptQ9YGsEBWGdsjEwVe2jV_pplkmx_1M79dhsJ9AVuCR890AeHInn6IyCoOSq0370RevbIXMPBOxrsQ8B6e5YsblKMlNGerItowC4tjHokKGj4qbfiGmWI_LtGIFv826mngbNurfTtPg/s320/pleiades_cover.jpg,e67c99dfb26fc1ef,,,,,jpg,0,0,,3
208,50,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEibfr72DNwCwVBnEfXM4bmrauQwo_B9skIeEmXDbL0jCv9QstAUhBQw04-_bO6nbBbrHdg1TZmOB1FJtmX2CvDORNItvCVlH4C6HO6W8QCi1cn-VhQN723RnfDw29G8twIetdLKEvLfyW0/s320/marca9.jpg,f50802e5880a2dd5,,,,,jpg,0,0,,3
209,50,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgovvnWntYcJuRGYhmWeedtw8sI8MWOhVTEAz0RvR3BRdiD4-ssPZRj3vLlStOejsjm1bjNaF-uYv8iHhQBFlmKEdTF5YLXwQKKyZUdOlpheHSujhOG8HrLDnxQCLKbnl94eJ6NSRAIZj4/s320/marca8.jpg,a64c601f822c2421,,,,,jpg,0,0,,4
210,50,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhn7ic6lBubcTSs16NzzYewKwBSnMLwhxRyPPEkXhKV85p1WnD8IYMKswtO4a92kX759I7eqS93LkyPN8BePHDG-e_PWB6vVPaybErYNZANzQxIZFG0758o78p8NR-NzfTXIPCpV9Y32Q/s320/marca7.jpg,9c1167d1b5ddd42a,,,,,jpg,0,0,,5
211,50,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjxcgNVjkzM3fO3IDeR0IsmgheUEs7e9QFV1c-DvEEK0zSoMcrbQWMfceNIcClUQ6SoOUgDaW8fnhxWTKH060UQ-sSlo7_cmxVtkh3qbMcQHYJTyDV_IWaBxLk0ZmXYeAKCkPnfge-_fg/s320/marca6.jpg,72ef11a6c818706b,,,,,jpg,0,0,,6
212,50,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhJ0UCobOn8qIZ26BBasbryuJ3YYq-_mwAhBaTc1TQqkpeph774_19Q1ZH9WMzU3Z3ZBWRvudXIBrkRvgGn-VQER5EdEh1D1LJS4wNhTBt3ssC6SNisGYNEfNdVXw5Rxauwm7OcT5GeU58/s320/marca5.jpg,41191985eeef4b86,,,,,jpg,0,0,,7
