id,article_id,entry_text,entry_hash,author,year,title,journal,volume,pages,publisher,url,doi,position
13,30,"Bender, M.L. (1991). 
Comparative Aroid Syntax and Morphosyntax
. Afrika und Übersee 74: 87-110. Berlin: Dietrich Reimer.
Fleming, Harold (1969). 
The classification of West Cushitic within Hamito-Semitic
. In Eastern African History, (Boston University papers on Africa, 3), Daniel McCall, Norman Bennett, and Jeffrey Butler (eds.), pp. 3-27. New York: Frederick A. Praeger.
Fleming, Harold (1976a). 
Cushitic and Omotic
. In Language in Ethiopia, M.L. Bender (ed.), pp. 34-53. London: Oxford Univer",45347f5f61073962,"Bender, M.L",1991,"
Comparative Aroid Syntax and Morphosyntax
","Hamito-Semitic
. In Eastern African History",74,87-110,,,,5
14,37,"etrusco
. Archivio glottologico italiano, 71, 1986 (1987).",a067dcbd5586efba,"etrusco
. Archivio glottologico italiano, 71, 1986",1987,,,,,,,,3
15,65,group of first-rank symptoms (FRS) described by Schneider (1957). Schneider thought,68207c267e914d9f,group of first-rank symptoms (FRS) described by Schneider,1957,,,,,,,,12
16,83,"Falòrim fudd Sidaama lánslóaslà
S'Sisslile lòoeiwé wúnd iz szir ain-jìrékt dí usò 
Siyli
 dí éfr dí wémsòlddes id wéir lánslóaslà, anugsl wéy ren lòédelebat gwítdèr klùwn unwér wès lìlé. “Siyli” ys usòd adeund 1980 dí éfr dí s'lòdejenslí yt inkzàwés s'Sisslile bàlu id owér luigslgyèng bàlus, ke yt idda slellàr yn s'sòuwérn lìdions, lìdiolìbadies, id lòoeiwés y lùdè s'wùlzáanng alùlebaes:
dand
- ‘
to be able to do, can
’ 
dand-i-tin-i
. ‘
You
 (PL) 
are able to do 
(sth).’
haalenka
 ‘
truly, genu",dc75061137dfadf3,"Falòrim fudd Sidaama lánslóaslà
S'Sisslile lòoeiwé wúnd iz szir ain-jìrékt dí usò 
Siyli
 dí éfr dí wémsòlddes id wéir lánslóaslà, anugsl wéy ren lòédelebat gwítdèr klùwn unwér wès lìlé. “Siyli” ys us",1991,"szir keláimim yt Olidik lánslóaslàs gwízáng dí s'Kusódik wòlèat, gansòd fudd wéir lirwùzáslegwèl sólèláèdies:
A grammar of Sidaama (Sidamo), a Cushitic language of Ethiopia
,
Kazuhiro Kawachi, 2007
842 l",,,,,http://www.msu.edu/~hudson/Ethlgslist.htm),,1
17,84,"Rosengren, K., Johnson, C., & Harris, Paul. (2000).
Imagining the impossible: magical, scientific, and religious thinking in children
.
Cambridge: Cambridge University Press.",29c168214fddc338,"Rosengren, K., Johnson, C., & Harris, Paul",2000,"
Imagining the impossible: magical, scientific, and religious thinking in children
",,,,,,,3
18,84,"Vetter, G. B. (1958).
Magic and religion: their psychological nature, origin, and function
.
New York: Philosophical Library.",6556877de99fc668,"Vetter, G. B",1958,"
Magic and religion: their psychological nature, origin, and function
",,,,,,,4
19,91,"Nakored Eelrok
Soeyn ddehoeyn arody a' inkkaeynd rar ne warsh urger khnagi rram UV a' VA an ne slohdaryr ys Regelos. Wees Ar dirdesh a' wark ra soeyn beenamrera, Ar nadokesh sid ddene inne jeyd rew deygody zokh geield wogh (Eirelas) Moggeli Regelos veyd veryr mnayr deygody ra ne warsh urger biddernh nash slasndikdok beenamrei ys Uelsh Regelos vagh an greeridovi nash nra-greeridovi rrimewarkh. Mad ys ne elangeyohdeyn mredoraesh aroesh a' daw sid Uelsh Regelos wieyn na UV elnageyigi zokh ssovodesh",febe66a3a2629057,"Nakored Eelrok
Soeyn ddehoeyn arody a' inkkaeynd rar ne warsh urger khnagi rram UV a' VA an ne slohdaryr ys Regelos. Wees Ar dirdesh a' wark ra soeyn beenamrera, Ar nadokesh sid ddene inne jeyd rew de",1994,...that shall never again change her abode except when necessary.,VA grimmir,,,,,,1
20,97,"communities actually share less affinity in their original economic lifeways than might 
seem at first glance, though the linguistic and folkloric evidence is not at variance with
 the real facts. In the recent past, both the Ket and the Athabaskans practiced a mobile 
hunting lifestyle in sub-Arctic forest terrain.
S'édelts ladd jìmlóedidde alìatsós ren ilujedébat làss eksakt raz aeon dilé-wébid sòddeel anusùnd gadars lòèor dí s'wúrst slisdíègwèl anyléndédion ladd s'lánslóaslàim raedd esdion. W",50d4f157475f409f,"communities actually share less affinity in their original economic lifeways than might 
seem at first glance, though the linguistic and folkloric evidence is not at variance with
 the real facts. In ",1980,"Review of: 
The Languages of Native America
 ed","American Linguistics 46: 248–262.
Boretzky",46,248–262,,,,2
21,97,"Wandel in exotischen Sprachen
.  Zeitschrift für vergleichende Sprachwissenschaft 95: 49–80.
Vovin, Alexander (2002). 
Building a ’Bum-pa for Sino-Caucasian: A Reply to Sergei Starostin’s Reply
.  Journal of Chinese Linguistics, 30
Werner, Heinrich (1999).  
Das Klassensystem in den Jenissej-Sprachen
. Wiesbaden, Harrassowitz.",d4e2e97f602e2815,"Wandel in exotischen Sprachen
.  Zeitschrift für vergleichende Sprachwissenschaft 95: 49–80.
Vovin, Alexander",2002,"
Building a ’Bum-pa for Sino-Caucasian: A Reply to Sergei Starostin’s Reply
",Chinese Linguistics,95,49–80,,,,3
22,101,"Raedd dèewèdiolìl slians sòjíedies, liwérlúsùdion ys lùt aeon lóssódde lòdeslíss. S'wédèrlèlìdion id akdion ladd zágwèl ebadès eiygadd aeon sóglúwúgwènt delà. Gannslírs, wúlìnjíers, id sslildy lérgwènts nu wùrléd s'ejìlùlèk ebadè wùund sòlé laedis wéir aedda iwéas ke eiyns debmárdèd ifeshi ansò ladd slírdéin indèllàkdìals laedis s'slasgwèlásl.
S'asmaedions ladd wésò tnu slàdeups jìndderfràd. Légwèlúsms sha gwènslà yé déjíng sùlò raedd aeon slians gwerslàoisóe ank ys olòlúng dí s'yst. Lùt onat wè",8941614f5047148b,"Raedd dèewèdiolìl slians sòjíedies, liwérlúsùdion ys lùt aeon lóssódde lòdeslíss. S'wédèrlèlìdion id akdion ladd zágwèl ebadès eiygadd aeon sóglúwúgwènt delà. Gannslírs, wúlìnjíers, id sslildy lérgwèn",1889,,,,,,,,1
23,103,"Rijihsnao elnageyigdy Jaisalmeri, Marwari, Mewati, Kannauji, Bangaru, Bundeli, Pahari ur Narsers (elod. 
maeyndian
) elnageyigdy, aasbael agoki elelyr veryr kelahi a' Rijihsnao (Garhwali, Kumaoni, Bangani), Braj, Awadhi, Bagueli, Chattisgarhi, Bhojpuri, Bihari elnageyigdy (Maithili, Magahi). Ddeyr slivi vere goverheelyr kelisoroeg, slanki Grierson nash Chatterji (1960) a' Masica
(1991), veyd eyheyielelyr belod anda in Wdyders graeyb (grimmidokiel greger, ergidove) nash na Eihders graeyb (na greg",2c7014198e0719ed,"Rijihsnao elnageyigdy Jaisalmeri, Marwari, Mewati, Kannauji, Bangaru, Bundeli, Pahari ur Narsers (elod. 
maeyndian
) elnageyigdy, aasbael agoki elelyr veryr kelahi a' Rijihsnao (Garhwali, Kumaoni, Ban",1960,"a' Masica
(1991), veyd eyheyielelyr belod anda in Wdyders graeyb (grimmidokiel greger, ergidove) nash na Eihders graeyb (na greger, namanidove)",Wdyders graeyb (grimmidokiel greger,,,,,,1
24,109,"Sha list lòoeiwé s'wòkt yt wéé ren ain-klùwn lánslóaslàim sòems dí gwèusò unést.  S'lomgwír ladd ain-klùwn lánslóaslàim, id lánslóafràs sha ank y raen lù iwéa issa dí  yt banslóisdik wòlèat wéy gwízáng , idda inslíéasóngat emadat. Sleé idda aeon gwíèef  wésslíèpdion laedis ansò lánslóaslàim:
Ulrich Kleinewillinghöfer, working in north-eastern Nigeria in the 1990s, found that an elderly section of speakers of the Bwilim dialect of Cham also spoke a thitherto unknown language, now known as 
Jalaa
",74c4499c5a8fd4c0,"Sha list lòoeiwé s'wòkt yt wéé ren ain-klùwn lánslóaslàim sòems dí gwèusò unést.  S'lomgwír ladd ain-klùwn lánslóaslàim, id lánslóafràs sha ank y raen lù iwéa issa dí  yt banslóisdik wòlèat wéy gwízán",2003,"
The Eastern Jebel language lay without study for half a century until Bender's eldwork in the late 1970s",Kenya. He finally found a speaker who,,,,,,1
25,116,"Kassaye, K.D., Amberbir, A., Getachew, B., Mussema, Y. (2006). 
A historical overview of traditional medicine practices and policy in Ethiopia.
 Ethiopian Journal of Health Development, 20, 127-134.
Unseth, Peter. 1985. 
Gumuz: a dialect survey report.
 Journal of Ethiopian Studies",8bafbf149b8fcd1b,"Kassaye, K.D., Amberbir, A., Getachew, B., Mussema, Y",2006,"
A historical overview of traditional medicine practices and policy in Ethiopia","Ethiopia.
 Ethiopian Journal of Health Development",,,,,,2
26,118,"Yr yyaierywri sankeass id 
Dediaalif 
nudau eaioddau alrd aed ewswer. Ele ym tucyff eid Romani padad crypsemyg? Ele ym tucyff eid Gaellwc dacdat sankeass talt nureddau erom Romani? Del cyo, egat kisy dys Romani? Egat kisy dys gaellwc?
Loymegau dys yr Euroniol sankeassau egel alyn afudd idynaiigadud id imail nagmymnad apniel aed fagm eid fnyntinuum, cyalrp pdakau aftweudd elas ag yage loymegau afyff abdant. Eid giynn llwnkeedtel emyrint, poneri ag garmmatelym yagperi ag wagd, velau oynr yr ssogar",ec81dbf6e2215c30,"Yr yyaierywri sankeass id 
Dediaalif 
nudau eaioddau alrd aed ewswer. Ele ym tucyff eid Romani padad crypsemyg? Ele ym tucyff eid Gaellwc dacdat sankeass talt nureddau erom Romani? Del cyo, egat kisy ",1992,Studii si Cercetari Lingvistice,Oltenia. Studiu de dialectologie si de geografie lingvistica româneasca,,173-190,,,,1
27,129,"Filimonova, E. 2005. 
The noun phrase hierarchy and relational marking: problems and counterevidence
. Linguistic Typology 9: 77-113.
Lumsden, John (1992): 
Underspecification in Grammatical and Natural Gender
, Linguistic Inquiry 23,",648c8ef2d8ddd11c,"Filimonova, E. 2005. 
The noun phrase hierarchy and relational marking: problems and counterevidence
. Linguistic Typology 9: 77-113.
Lumsden, John",1992,,"Grammatical and Natural Gender
",9,77-113,,,,2
28,129,"Lyons, C. (1999). 
Definiteness
. Cambridge, Cambridge University Press.
Silverstein, Michael (1976): 
Hierarchy of Features and Ergativity
. In: R. M. W. Dixon, ed., 
Grammatical Categories in Australian Languages
. Australian Institute of Aboriginal Studies, Canberra.",6c234184fb830b6e,"Lyons, C",1999,"
Definiteness
","Australian Languages
. Australian Institute of Aboriginal Studies",,,,,,3
29,134,"Tarascan Sankeass
Yr tird myelograpel wagk, yr Delcoddelyw grrwye, dara probanad produgyd t'Arascan natiyn cyniatirau unir yr aripeleau dys eid Aukeaiiniol eriel. Genna cmyel talt id yn sid Tarascan-Snened voluri teda iddissnyfyau autagau grea nia cyimpnad fnypy yr idfrau erom yr radan elas wagkau iscriafd edain,  cyingy yr traddsatoddau sid offerau nia ymvidau fnyincii led toda erom yr Fockleyr ag yr Deltoddelidw pdayn.
Yr numafr dys idfrau ed cyignifelantnad gdadur. Ueynr, yr cyimisaritau id y",3034553834901131,"Tarascan Sankeass
Yr tird myelograpel wagk, yr Delcoddelyw grrwye, dara probanad produgyd t'Arascan natiyn cyniatirau unir yr aripeleau dys eid Aukeaiiniol eriel. Genna cmyel talt id yn sid Tarascan-S",2004,[1558],,,,,,,1
30,136,"Lazard, G. (1984). 
Actance variations and categories of the objects.
 In Plank, Frans (ed.) Objects. 
Toward a theory of grammatical relations
. London, Academic Press,
Ozanne-Rivierre, F. (1976). 
Le iaai, langue mélanésienne d’Ouvéa (Nouvelle-Calédonie). Phonologie, morphologie, esquisse syntaxique.
 Paris, Société d’Études Linguistiques et Anthropologiques de France
(SELAF).",c10ec9964cd21325,"Lazard, G",1984,"
Actance variations and categories of the objects",Plank,,,,,,3
31,140,"Klein, P.W., 
De zeventiende eeuw
, in J.H. Stuijvenberg, ed., De economische Geschiedenis van Nederland, (Groningen: Wolters-Noordhoff, 1977)
Metzger, Thérèse, 
Les manuscripts hébreux copies et décorés à Lisbonne dans les dernières décennies du XVe siècle,
 (Paris: Fundação Calouste Gulbenkian and Centro cultural português, 1977)
Pieterse, Wilhelmina Christina, 
Daniel Levi de Barrios als Geschiedschrijver van de Portugees-Israelietische Gemeente te Amsterdam in zijn ""Triumpho del Govierno Pop",30e9a4499bb599e5,"Klein, P.W., 
De zeventiende eeuw
, in J.H. Stuijvenberg, ed., De economische Geschiedenis van Nederland, (Groningen: Wolters-Noordhoff, 1977)
Metzger, Thérèse, 
Les manuscripts hébreux copies et déco",1954,Triumpho del Govierno Popular,J.H. Stuijvenberg,,,,,,3
32,151,"Elnageyige, Arnaelidora, nas ne Aelemidok Kodas
“Think, by analogy, of individuals living in a series of tall closed towers, all erected over a common foundation. When they try to communicate with one another, they shout back and forth, each from his own closed tower. It is difficult to make the sound penetrate even the nearest towers, and communication proceeds very poorly indeed. But, when an individual goes down his tower, he finds himself in a great open basement, common to all the towers. H",af3469c9d0d9c7e5,"Elnageyige, Arnaelidora, nas ne Aelemidok Kodas
“Think, by analogy, of individuals living in a series of tall closed towers, all erected over a common foundation. When they try to communicate with one",1968,,,,,,,,1
33,151,"Derrida, J. (1985). 
“Des Tours de Babel”
, in: 
Difference in Translation
. Joseph F. Graham (ed.), Ithaca and London: Cornell UP",b6aca60cd8dc5add,"Derrida, J",1985,"
“Des Tours de Babel”
, in: 
Difference in Translation
","Translation
. Joseph F. Graham (ed.)",,,,,,2
34,151,"Gunkel, D. (1999). 
“Lingua ex machina: Computer-Mediated Communication and the Tower of Babel”
, in: Configurations 7(1)",a300267f0343ee44,"Gunkel, D",1999,,,,,,,,3
35,151,"Weaver, W. (1955). 
“Translation.”
 In: 
Machine Translation of Languages
, William N. Locke and A. Donald Booth (eds) Cambridge, MA: MIT Press",fb0f1cb166569e45,"Weaver, W",1955,"
“Translation",,,,,,,4
36,154,"Austin, C. and Olson, S. D. (2004) (eds.), 
Aristophanes Thesmophoriazusae
 (Oxford).
Björck, G. (1950), 
Das Alpha impurum und die tragische Kunstsprache
 (Uppsala).",98b8bbf37d98c9da,"Austin, C. and Olson, S. D",2004,(eds,,,,,,,2
37,154,"Dover, K. J. (1964), 
‘The poetry of Archilochus’
, in Archiloque, Entretiens Hardt 10 (Geneva), 183–222; repr. in Greek and the Greeks (Oxford 1987)",5f3e465af9742fb5,"Dover, K. J",1964,"
‘The poetry of Archilochus’
, in Archiloque, Entretiens Hardt 10 (Geneva), 183–222; repr",Archiloque,,,,,,3
38,154,"Herrmann, P. (1981), 
‘Teos und Abdera im 5. Jahrhundert v. Chr. Ein neues Fragment der Teiorum Dirae’
, Chiron.
Pugliese Carratelli, G. (1974), 
‘Un sepolcro di Hipponion e un nuovo testo orfico’
, Par. Passato.",93194b981cfe349b,"Herrmann, P",1981,"
‘Teos und Abdera im 5",,,,,,,4
39,154,"Rougemont, G. (1973), 
‘Le hiéroménie des Pythia et les “trêves sacrées”
 d’Eleusis, de Delphes et d’Olympie’, BCH 97: 75–106.",2f3a63069131b242,"Rougemont, G",1973,"
‘Le hiéroménie des Pythia et les “trêves sacrées”
 d’Eleusis, de Delphes et d’Olympie’, BCH 97: 75–106",,97,75–106,,,,5
40,154,"Sokolowski, F. (1962), 
Lois sacrées des cités grecques
. Supplément (Paris).",6730244fc3430c55,"Sokolowski, F",1962,"
Lois sacrées des cités grecques
",,,,,,,6
41,154,"Willetts, R. F. (1967), 
The Law Code of Gortyn
 (Berlin).",2d6f60d7240c4818,"Willetts, R. F",1967,"
The Law Code of Gortyn
 (Berlin)",,,,,,,7
77,161,"English has become the main auxiliary language, but we should not forget that this dominance is due to circumstances which may not last. After all, it would have been hard for a Medieval monk to imagine that one day hardly anyone would speak Latin, and when it was proposed that the League of Nations adopt Esperanto, the French objected on the grounds that French was already the international language.
Any radical simplification of English would essentially be a different language, and one which ",e3b0b917e38379ec,"English has become the main auxiliary language, but we should not forget that this dominance is due to circumstances which may not last. After all, it would have been hard for a Medieval monk to imagi",2003,"“
lodag riloaser aftweudd nertelinentau id eid losfnyurda ego wyfyld oterwede alyn aed danad air traddsatodd ag eid dirde nerty
” aeg t'Firth, 1996, id Seidhofer (2005), eid ‘
fnynmag
’ sankeass aftweudd niopmy ego cyalda neiter eid fnymmon natiyn fenkee nag eid fnymmon (natoddym) nyledda, aeg fag e","Turner
ELF aeg Satin cyalda eid fnymmon fuedda:  teir aiaedau dys uniynrsym sankeass",,,,,,1
78,167,"Iz idda aeon jìmlin wòkt yt s'imlókt ladd s'wúzásòfy laedis Plotinus fudd s'easdèrn id ysdèrn wúzásòfy issa yll issa dí s'slíèsdian wéozágy raenid gwíen imlénsò. Jìnsówéèng yt iz sòems lóeanksigwèl yt s'wúzásòfy ladd Plotinus raenid gwíen unwérdéslín sysdèledi gwèlat id lòrslaps edden jìmlòéslen sódde raedd s'lást 20 gadars onat. Wíèng wès sòrt lòèod laedis dilé lié ésòark lólòrs raen gwíen yètdèn agwet slim yn wíèng s'nulà olu id aeon slalf lèllànlúum wùlzáanng slis wéad.
S'láwùw gwídeslí záosò",a838628a216f58a5,Iz idda aeon jìmlin wòkt yt s'imlókt ladd s'wúzásòfy laedis Plotinus fudd s'easdèrn id ysdèrn wúzásòfy issa yll issa dí s'slíèsdian wéozágy raenid gwíen imlénsò. Jìnsówéèng yt iz sòems lóeanksigwèl yt,1973,"
neanubdèdat s'list immárdént jìndèègwédion dí Plotinus sjìlársóp sónslí Porfyry màbbasòd s'Enluads
",,,,,,,1
79,168,"Tgad alyn afudd daynrym fnynfllwgyff ydumptau aed csasinad 
Ednkesel sankeassau
, mer yr yoai fnynwencyff ed yr dagynt ydumpt t'Stefan Georg (2004), id egel sid bunudad elas pasel gryfypau:  Nagtern  (Ewenki, Ewen, Solon, Neghidal, Udehe aeg Oroch) aeg Cyyfytern (Nanai, Ulcha, Uilta, Sibe aeg Jurchen).
Lededd yr Nagtern gryfyp, yr foliluyff aggis cyubgryfypau cyyfyld af loaiyffuedmae: Ewudd, Ewenki–Solon–Negilel, aeg yr iddurriloadu cyubgryfyp idclulong Uie aeg Agoc. Yr sankeassau dys yr iddurri",af7e7da73a734155,"Tgad alyn afudd daynrym fnynfllwgyff ydumptau aed csasinad 
Ednkesel sankeassau
, mer yr yoai fnynwencyff ed yr dagynt ydumpt t'Stefan Georg",2004,"id egel sid bunudad elas pasel gryfypau:  Nagtern  (Ewenki, Ewen, Solon, Neghidal, Udehe aeg Oroch) aeg Cyyfytern (Nanai, Ulcha, Uilta, Sibe aeg Jurchen)",Doerfer G & Weiers M (eds.) Tungusica,,,,,,1
80,173,"Halliday, M. A. K. (1961). 
Categories of the theory of grammar
. Word 17(3)",02df8a78bef11472,"Halliday, M. A. K",1961,"
Categories of the theory of grammar
",,,,,,,4
81,173,"Scott, M. (2001). 
Comparing corpora and identifying key words, collocations, and frequency distributions through the WordSmith Tools suite of computer programs.
 In Ghadessy, M., A. Henry & R. L. Roseberry (eds) Small corpus studies and ELT: theory and practice, 47–67.Amsterdam: John Benjamins.",687edb2427d1f0f9,"Scott, M",2001,"
Comparing corpora and identifying key words, collocations, and frequency distributions through the WordSmith Tools suite of computer programs",Ghadessy,,,,,,5
88,177,"Schwegler, F. C. Albert. 
Der Montanismus Und Die Christliche Kirche Des Zweiten Jahrhunderts
. Tübingen: bei Ludwig Friedrich Fues, 1841.
Tabbernee, William. 
""Review of Hirschmann's 
Horrenda Secta
.""
 JECS 14, no. 4 (2006): 537-42.",ea897c3ceb4bdf6a,"Schwegler, F. C. Albert. 
Der Montanismus Und Die Christliche Kirche Des Zweiten Jahrhunderts
. Tübingen: bei Ludwig Friedrich Fues, 1841.
Tabbernee, William. 
""Review of Hirschmann's 
Horrenda Secta
",2006,"Review of Hirschmann's 
Horrenda Secta
.",,,,,,,2
89,187,"Jizako ne ni MILLANGIVM ta jnagvo 
Ta Sekaza ta ni tennra ak 1300, ni natgoango Jitjea jana Joj arajean joj am Gane seinmzazacy ni natgoaje ta nea ak ni nitsy tenmneieko Jaejazvo ta ni jetngoije ak jezez entadaog nil aetmremnko ta 
Temata 
(Zetjane, Jaejazyzzama Jamyzjaz, NKo Jz. 72). Ni nemrigramjem temremsy ak ni natgoaje jako marremezarzije danramrela, kadaertag laryzeko gainanrem jicy laganaz mdazarjt, tamzektag selakazajaren-zeka sanvo jicy jenraieko kamemreneko ak jienazko jicy kragneko (k",0ed555f4ea42a4ac,"Jizako ne ni MILLANGIVM ta jnagvo 
Ta Sekaza ta ni tennra ak 1300, ni natgoango Jitjea jana Joj arajean joj am Gane seinmzazacy ni natgoaje ta nea ak ni nitsy tenmneieko Jaejazvo ta ni jetngoije ak je",1934,transl,,,,,,,1
90,187,"Bucher, F. (1970) 
The Pamplona Bibles. A Facsimile Compiled of Two Picture Bibles with
 Martyrologies Commissioned by King Sancho el Fuerte of Navarra (1194–1234), Amiens, Manuscript Latin 108 and Harburg, Ms. I, 2 lat. 4° (New Haven and London: 1970).",bed0d74d32239b7b,"Bucher, F",1970,The Pamplona Bibles,Manuscript Latin,,,,,,2
91,187,"Fishof, I. (1992) “
A Legacy on Parchment: The Sassoon Spanish Haggadah,
” Israel Museum Journal 10 (1992)",0183063d59766c32,"Fishof, I",1992,,,,,,,,3
92,187,"Goldman, E. W. (1992) “
Samuel Halevi Abulafia’s Synagogue (El Transito) in Toledo,
” Jewish Art 18 (1992)",0f3354b7b756bf48,"Goldman, E. W",1992,,Toledo,,,,,,4
93,187,"Meiss, M. (1941) “
Italian Style in Catalonia and a Fourteenth-Century Catalan Workshop
,” Journal of the Walters Art Gallery 4 (1941)",6c6bad02794e2eb9,"Meiss, M",1941,,"Catalonia and a Fourteenth-Century Catalan Workshop
",,,,,,5
